"Position","Name","Type","Signal","Label"
"158","PH15","I/O","",""
"159","PI0","I/O","",""
"160","VSS","Power","",""
"161","VDD","Power","",""
"162","PI1","I/O","",""
"163","PI2","I/O","",""
"164","PI3","I/O","",""
"165","PA14 (JTCK/SWCLK)","I/O","DEBUG_JTCK-SWCLK",""
"166","PA15 (JTDI)","I/O","DSIHOST_TE",""
"167","PC10","I/O","SDMMC1_D2",""
"168","PC11","I/O","SDMMC1_D3",""
"169","PC12","I/O","SDMMC1_CK",""
"170","PD0","Input","GPIO_Input","SD_Detect"
"171","PD1","I/O","",""
"172","PD2","I/O","SDMMC1_CMD",""
"173","PD3","I/O","",""
"174","PD4","I/O","USART2_DE","RS485_DE"
"175","PD5","I/O","USART2_TX","RS485_TX"
"176","PD6","I/O","",""
"177","PD7","I/O","",""
"178","VSS","Power","",""
"179","VDD","Power","",""
"180","PG9","I/O","",""
"181","PG10","I/O","",""
"182","PG11","I/O","",""
"183","PG12","I/O","",""
"184","PG13","I/O","",""
"185","PG14","I/O","",""
"186","VSS","Power","",""
"187","VDD","Power","",""
"188","PG15","I/O","",""
"189","PB3 (JTDO/TRACESWO)","I/O","",""
"190","PB4 (NJTRST)","I/O","",""
"191","PB5","I/O","",""
"192","PB6","I/O","I2C1_SCL",""
"193","PB7","I/O","I2C1_SDA",""
"194","BOOT0","Boot","",""
"195","PB8","I/O","",""
"196","PB9","I/O","",""
"197","PE0","I/O","SAI2_MCLK_A","AUX_I2S_MCLK"
"198","PE1","I/O","",""
"199","VCAP","Power","",""
"200","VSS","Power","",""
"201","PDR_ON","Power","",""
"202","VDDLDO","Power","",""
"203","PI4","I/O","",""
"204","PI5","I/O","",""
"205","PI6","I/O","",""
"206","PI7","I/O","",""
"207","VSS","Power","",""
"208","VDD","Power","",""
